Date,Time,SO4,NO3,NH4,OC,EC,CHL,Total,place
20180325,D,9.216313655,4.075935106,3.752591257,6.823323615,1.810805113,0.177782785,33.24250681,線西
20180325,N,9.910504959,12.19251578,6.424256087,9.177523596,2.550773034,0.934400361,49.68210718,線西
20180326,D,10.30860868,4.82647786,4.652056642,4.114293442,1.846157314,0.772757923,33.96911898,線西
20180326,N,8.658125421,9.765565296,5.496066532,6.206004494,2.182620225,1.117554507,37.60217984,線西
20180327,D,13.06413141,4.347659766,5.223447345,2.257958268,0.945191833,0.785328533,34.42325159,線西
20180327,N,10.76186193,7.551158084,5.52102541,6.291964004,1.895487064,1.204407466,37.05722071,線西
20180328,D,10.30639352,3.217919856,4.030841963,4.229955097,1.917929951,0.635749662,27.65667575,線西
20180328,N,10.45530286,11.12114389,6.437964422,6.293379838,2.527884788,1.125647377,42.64305177,線西
20180329,D,10.66036036,2.483333333,3.725225225,3.85403113,1.399066095,0.257432432,28.33787466,線西
20180329,N,10.38737125,13.70219436,7.114643977,9.644361105,2.706728049,1.330273175,48.41053588,線西
20180330,D,7.468065899,2.197698037,3.251410517,5.752054115,1.715062007,0.340780862,25.70390554,線西
20180330,N,3.67972973,4.043243243,2.296396396,7.430677775,2.66134204,0.938738739,22.29791099,線西
20180331,D,7.927100208,2.631566767,2.995834298,7.549677419,1.683741007,0.609812543,23.52406903,線西
20180331,N,10.74060742,7.362204724,5.298312711,6.116119336,1.758712427,1.543082115,38.46503179,線西
20180312,D,6.713031735,5.837947333,3.905919424,9.745082152,1.790988071,0.291694801,26.74841054,南投
20180312,N,6.016895697,10.42329353,5.8303672,11.38316595,2.239743301,0.952241496,43.36966394,南投
20180313,D,7.688543076,6.247631935,4.729815065,10.29586409,2.106570657,0.098331078,30.19981835,南投
20180313,N,5.825539568,8.061600719,4.948741007,10.39417585,2.184092647,0.25022482,38.05631244,南投
20180314,D,7.34194563,4.850595372,4.049651764,11.27112259,2.732393354,0.139743878,30.88101726,南投
20180314,N,7.545843658,8.929038072,5.525568822,13.40224568,2.286265439,0.323271007,39.41871026,南投
20180315,D,7.246230025,5.385550304,4.329732163,12.25823384,2.63617932,0.274589242,33.69663942,南投
20180315,N,,,,,,,,南投
20180316,D,6.004737198,3.017595308,3.249266862,8.958973204,1.739094798,0.193548387,21.02633969,南投
20180316,N,6.245219348,4.746006749,4.238245219,5.947047448,1.210460985,1.08976378,24.75022707,南投
